facet_id,facet_name,facet_name_raw,category,polarity,eval_difficulty,required_context_turns,prompt_template_id,is_observable,score_min,score_max
F0001,Risktaking,Risktaking,safety,positive,medium,3,safety_medium,False,-2,2
F0002,Naivety,Naivety,general,negative,medium,3,general_medium,False,-2,2
F0003,Acidity,Acidity,general,negative,medium,3,general_medium,False,-2,2
F0004,Democratic Leadership,Democratic Leadership:,social,positive,hard,5,social_hard,False,-2,2
F0005,Common-sense,Common-sense,general,positive,medium,3,general_medium,False,-2,2
F0006,Hesitation,Hesitation,general,positive,medium,3,general_medium,False,-2,2
F0007,Discontentment,Discontentment,emotional,negative,medium,3,emotional_medium,False,-2,2
F0008,Overprotectiveness,Overprotectiveness,general,positive,medium,3,general_medium,False,-2,2
F0009,Merriness,Merriness,emotional,positive,medium,3,emotional_medium,False,-2,2
F0010,Emotionalism,Emotionalism,emotional,positive,medium,3,emotional_medium,False,-2,2
F0011,Self-improvement,Self-improvement,general,positive,medium,3,general_medium,False,-2,2
F0012,Statistical Reasoning,Statistical Reasoning,cognitive,positive,medium,3,cognitive_medium,False,-2,2
F0013,Assertiveness and control in relationships,Assertiveness and control in relationships,personality,positive,hard,5,personality_hard,False,-2,2
F0014,Cunningness,Cunningness,general,negative,medium,3,general_medium,False,-2,2
F0015,Adventure-Seeking Behavior,Adventure-Seeking Behavior,behavioral,positive,medium,3,behavioral_medium,False,-2,2
F0016,Compassion Fatigue,Compassion Fatigue,emotional,positive,medium,3,emotional_medium,False,-2,2
F0017,Moroseness,Moroseness,emotional,negative,medium,3,emotional_medium,False,-2,2
F0018,Specialist,Specialist,general,positive,medium,3,general_medium,False,-2,2
F0019,Aloofness,Aloofness,general,positive,medium,3,general_medium,False,-2,2
F0020,Genuine,Genuine,general,positive,medium,3,general_medium,False,-2,2
F0021,Determinedness,Determinedness,general,positive,medium,3,general_medium,False,-2,2
F0022,HonestyHumility,HonestyHumility:,general,positive,medium,3,general_medium,False,-2,2
F0023,Relationship Building Themes,Relationship Building Themes:,social,positive,hard,5,social_hard,False,-2,2
F0024,Pure Challenge,Pure Challenge,general,positive,medium,3,general_medium,False,-2,2
F0025,Numerical Reasoning Subcomponents,Numerical Reasoning Subcomponents:,cognitive,positive,medium,3,cognitive_medium,False,-2,2
F0026,Openness,Openness,personality,positive,medium,3,personality_medium,False,-2,2
F0027,SelfEsteem,SelfEsteem,general,positive,medium,3,general_medium,False,-2,2
F0028,Comparing alphanumeric data,Comparing alphanumeric data,general,positive,medium,3,general_medium,False,-2,2
F0029,Big-heartedness,Big-heartedness,general,positive,medium,3,general_medium,False,-2,2
F0030,Compulsive activities,Compulsive activities,behavioral,positive,medium,3,behavioral_medium,False,-2,2
F0031,Disrespect,Disrespect,general,negative,medium,3,general_medium,False,-2,2
F0032,FSH level,FSH level,general,positive,easy,1,general_easy,False,-2,2
F0033,Self Perspective,Self Perspective,general,positive,medium,3,general_medium,False,-2,2
F0034,Desperation,Desperation,general,positive,medium,3,general_medium,False,-2,2
F0035,Affiliation Motivation,Affiliation Motivation:,social,positive,medium,3,social_medium,False,-2,2
F0036,Anatomy knowledge,Anatomy knowledge,general,positive,medium,3,general_medium,False,-2,2
F0037,Passive-Aggressive,Passive-Aggressive,general,negative,medium,3,general_medium,False,-2,2
F0038,Presence of Spiritual Pain,Presence of Spiritual Pain,spiritual,positive,hard,5,spiritual_hard,False,-2,2
F0039,Role of Spirituality in Community Involvement,Role of Spirituality in Community Involvement,social,positive,hard,5,social_hard,False,-2,2
F0040,Structure,Structure,general,positive,medium,3,general_medium,False,-2,2
F0041,Eco-tourism trips,Eco-tourism trips,general,positive,medium,3,general_medium,False,-2,2
F0042,Chivalrousness,Chivalrousness,general,positive,medium,3,general_medium,False,-2,2
F0043,Pilgrimage participation count,Pilgrimage participation count,spiritual,positive,easy,1,spiritual_easy,False,-2,2
F0044,Mindfulness facet: Observing,Mindfulness facet: Observing,general,positive,medium,3,general_medium,False,-2,2
F0045,Submissiveness,Submissiveness,general,positive,medium,3,general_medium,False,-2,2
F0046,Training-cycle length,Training-cycle length,professional,positive,medium,3,professional_medium,False,-2,2
F0047,Sensitiveness,Sensitiveness,general,positive,medium,3,general_medium,False,-2,2
